8-1,8-2,74,75,101
6:25,6:35,6:00,6:19,6:00
6:51,7:01,6:38,6:57,6:28
7:18,7:28,7:15,7:32,6:55
7:45,7:55,7:49,8:07,7:20
8:11,8:21,8:25,8:45,7:40
8:38,8:48,9:06,9:27,8:05
9:05,9:15,9:48,10:09,8:30
9:31,9:41,10:30,10:51,8:59
9:58,10:08,11:12,11:33,9:27
10:25,10:35,11:55,12:17,9:52
10:51,11:01,12:39,13:02,10:19
11:18,11:28,13:25,13:48,10:45
11:45,11:55,14:10,14:32,11:12
12:11,12:21,14:54,15:17,11:39
12:38,12:50,15:40,16:03,12:06
13:07,13:13,16:25,16:47,12:34
13:36,13:41,17:09,17:32,13:02
14:03,14:10,17:55,18:16,13:31
14:42,14:48,18:38,19:00,14:01
15:11,15:16,19:22,19:45,14:28
15:38,15:45,20:08,20:30,14:56
16:02,16:08,20:53,21:16,15:24
16:31,16:36,21:39,22:02,15:53
17:27,17:05,22:25,0:00,16:18
17:56,17:33,0:00,0:00,16:45
18:23,18:01,0:00,0:00,17:13
18:52,18:30,0:00,0:00,17:41
19:21,18:58,0:00,0:00,18:10
19:48,19:26,0:00,0:00,18:39
20:14,19:55,0:00,0:00,19:07
20:43,20:21,0:00,0:00,19:34
21:19,20:48,0:00,0:00,20:00
21:37,21:15,0:00,0:00,20:27
22:05,21:41,0:00,0:00,20:52
22:35,22:08,0:00,0:00,21:18
0:00,22:35,0:00,0:00,21:44
0:00,0:00,0:00,0:00,22:10
0:00,0:00,0:00,0:00,0:00
